Year	Candidate ID	Candidate	Incumbent/Challenger/Open-Seat	Party	Party Designation	Total Receipts	Authorized Tranfers From	Total Disbursements	Transfers to Authorized	Beginning Cash	Ending Cash	Contrib from Candidate	Loans from Candidate	Other Loans	Candidate Loan Repayments	Other Loan Repayments	Debts Owed By	#$200-$499 Contrib	Total $200-$499	#$500-$749	Total $500-$749	#$750+ Contrib	Total $750+ Contrib	Total Indiv. Contrib	Major Pty Contrib	Party Indep Expend For	Corp. Contributions	Labor Contributions	Non-Connected Cont	T/M/H Contrib	Cooperative Contrib	Corp W/p Stock Cont	Non-Party Exp.	Non-Party Exp. Agn	Indep. Exp For	Indep Exp. Agn	Comm Cost For	Comm Cost Agn	State Code	District	Spec Elec Status	Primary Elec Status	Runoff Elec Status	General Elec Status	General Elec Pct	Spec. Elec. Cand	Party Coordinated Expenditures	Party Independent Expenditures Against
2002	H2AL05052	BOENKER, MATTHEW	C	2	REP	77609	0	77576	0	0	0	56000	10000	0	1732	0	8267	5	1250	3	1500	1	1000	8609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	5					0		0	0
2002	H6AL05178	BURTON, CHARLES HERBERT	C	2	REP	0	0	16	0	16	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	5		L			0		0	0
2002	H2AL05060	ENGEL, STEPHEN P	C	2	REP	13659	0	13593	1667	0	65	1282	0	0	0	0	0	11	2700	1	500	1	864	11904	0	0	0	0	2000	0	0	0	46	0	0	0	0	0	AL	5		W		L	24		0	0
2002	H4AL05025	PARKER, WAYNE JR	C	2	REP	17232	0	17232	0	0	0	0	17232	0	0	0	17232	0	0	0	0	0	0	0	0	0	0	10000	0	500	0	0	0	0	0	0	0	0	AL	5					0		0	0
2002	H2AL05078	WILLIAMS, MICHAEL L	C	2	REP	7957	0	8188	0	0	569	7957	0	0	0	0	0	0	0	2	1060	1	800	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	5		L			0		0	0
2002	H2AL06035	BACHUS, SPENCER T	I	2	REP	1105801	0	747977	0	238302	596126	0	0	0	0	0	0	94	22820	116	58530	260	259000	348000	613	0	368345	2000	41702	233380	3000	3500	0	0	0	2	297	0	AL	6		W		W	89		0	0
2002	H0AL06070	REAGIN, TERRY	C	2	REP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	6		W			0		0	0
2002	H2AL06092	MCALLISTER, J. HOLDEN	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	6				L	9		0	0
2002	H0AL07060	DAVIS, ARTUR GENESTRE	C	1	DEM	1578640	0	1441878	0	0	55609	0	11211	0	11255	0	8604	388	100730	379	190060	534	529590	1231231	5000	0	69947	30000	78051	96750	0	1000	0	9219	0	0	30	867	AL	7		R	W	W	92		250	0
2002	H2AL07041	HILLIARD, EARL F	I	1	DEM	867414	0	886859	0	19850	404	0	55250	0	57750	0	10949	66	18219	81	40500	147	156706	274427	8800	0	68750	234750	95321	75500	8750	1000	3019	0	0	0	15002	0	AL	7		R	L		0		0	0
2002	H2AL07025	SANDERS, HENRY	C	1	DEM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	7					0		0	0
2002	H2AL07140	WIGGINS, SAMUEL III	C	1	DEM	48233	0	48233	0	0	0	13305	1850	22963	5500	0	25019	9	2300	0	0	4	4000	10115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	7					0		0	0
2002	H2AL07157	MCCAY, LAUREN ORTH	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	7				L	7		0	0
2002	S6AK00102	OBERMEYER, THERESA NANGLE PH D	C	1	DEM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AK	0		L			0		0	0
2002	S0AK00097	VONDERSAAR, FRANK J	C	1	DEM	1050	0	1049	0	0	0	0	1000	0	156	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AK	0		W		L	10		0	0
2002	S2AK00010	STEVENS, THEODORE F (TED)	I	2	REP	2726504	0	2295429	0	241669	672745	0	0	0	0	0	0	378	77897	493	248000	1023	1023525	1466247	1460	0	625989	142500	152253	230471	3000	21500	0	0	0	2	572	0	AK	0		W		W	79		0	0
2002	S2AK00069	DORE, JIM	C	3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AK	0		W		L	0		0	0
2002	S2AK00085	HIGGINS, THOMAS M.	C	3	GRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AK	0		L			0		0	0
2002	S2AK00093	SYKES, JAMES L.	C	3	GRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	AK	0		W		L	0		0	0
2002	H0AK00055	GREENE, CLIFFORD MARK	C	1	DEM	980	0	980	0	0	0	0	980	0	403	0	621	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	AK	0		W		L	17		0	0
2002	H0AK00063	MILES, DAE	C	1	DEM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AK	0		L			0		0	0
2002	H6AK00045	YOUNG, DON E	I	2	REP	2260826	0	1378269	0	280975	1163533	0	0	0	0	0	0	553	136848	614	307500	711	722701	1247721	196	0	451658	182550	33750	220785	5500	18000	0	0	0	2	572	0	AK	0		W		W	74		0	0
2002	H2AK00085	CLIFT, ROB	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AK	0	W			L	1		0	0
2002	H2AK00077	DEFOREST, RUSSELL F.	C	3	GRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AK	0		W		L	6		0	0
2002	H0AS00018	FALEOMAVAEGA, ENI	I	1	DEM	128086	0	134416	0	8582	2248	0	0	1850	9399	800	27472	7	2140	51	25500	33	34200	69726	0	0	4500	30000	10000	4025	0	0	0	0	0	0	0	0	AS	0		W		W	54		2167	0
2002	H2AS00048	LANGKILDE, FAGAFAGA DANIEL	C	1	DEM	20227	0	18518	0	0	2926	3208	0	0	0	0	1218	5	1150	1	500	0	0	17019	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	AS	0		W		L	45		0	0
2002	H4AS00036	COLEMAN, AUMUA AMATA	C	2	REP	550	0	5296	0	6188	1442	0	0	0	0	0	0	1	250	0	0	0	0	300	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	AS	0		W			0		0	0
2002	H2AZ00067	BRAUN, ALAN	C	1	DEM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	0					0		0	0
2002	H2AZ00042	SCHMUCK, FRANK	C	2	REP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	0					0		0	0
2002	H2AZ08011	CORDOVA, GEORGE ADAM	O	1	DEM	655499	0	606443	0	0	49051	0	200000	0	0	0	251357	87	23131	62	31550	63	61505	161234	10077	0	12500	123000	75496	22045	0	200	0	0	2	0	33185	0	AZ	1		W		L	48		31387	0
2002	H2AZ01230	DUVAL, FRED	O	1	DEM	608873	0	549801	0	0	31576	1000	80000	0	3500	0	76500	313	39713	236	118762	235	257080	469750	0	0	18800	17000	6000	0	0	0	0	0	0	0	0	0	AZ	1					0		0	0
2002	H0AZ03222	HARTSTONE, ROGER D	O	1	DEM	69536	0	69537	0	0	0	0	8321	0	8320	0	0	40	9832	13	6800	3	3132	28517	0	0	0	21000	0	1500	0	0	0	0	0	0	0	0	AZ	1					0		0	0
2002	H2AZ01156	MARTINEZ, SAM C	O	1	DEM	192234	0	191761	0	0	-1521	7114	161570	0	65000	0	0	12	3050	11	5500	6	5750	20012	250	0	0	0	0	500	0	0	0	0	0	0	0	0	AZ	1					0		0	0
2002	H2AZ01248	NORRIS, DEBRA	O	1	DEM	49133	0	49133	0	0	0	0	0	0	0	0	0	13	3100	12	6100	11	11000	48933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	1					0		0	0
2002	H2AZ00059	PRESCOTT, DIANE	O	1	DEM	314517	0	314303	0	0	213	35890	229000	0	0	0	229000	13	3702	10	5204	12	11695	38975	250	0	0	0	0	500	0	0	0	0	0	0	0	0	AZ	1					0		0	0
2002	H2AZ01198	UDALL, STEPHEN G	O	1	DEM	289871	0	302154	0	0	-12283	0	39910	0	0	0	49637	107	27383	81	40733	106	105500	202854	158	0	3500	44500	-1500	500	0	0	0	0	0	0	0	0	AZ	1					0		0	0
2002	H2AZ01206	WATCHMAN, DERRICK B	O	1	DEM	54446	0	54378	0	0	66	0	17499	0	0	0	17499	17	4600	14	7100	11	10850	36197	250	0	1000	0	500	0	0	0	0	0	0	0	0	0	AZ	1					0		0	0
2002	H2AZ01222	EVERETT, ALAN	O	2	REP	274336	0	274335	0	0	0	0	83064	15000	83065	15000	0	30	8190	29	14881	33	108835	161161	0	0	1000	0	5000	3000	0	1000	0	0	0	0	0	0	AZ	1					0		0	0
2002	H2AZ01149	HAY, SYDNEY	O	2	REP	469874	0	464492	0	0	5381	5750	125000	0	0	0	132806	136	35605	71	35500	124	125000	285707	0	0	11500	0	19131	26433	0	2500	9	0	0	0	0	0	AZ	1					0		0	0
2002	H2AZ01172	RENZI, RICHARD GEORGE	O	2	REP	1619052	0	1557104	0	0	-493916	0	763090	0	326500	0	553090	119	28921	52	26039	288	288150	370696	94560	14987	110000	5000	146750	124150	0	2300	31717	0	0	2	2130	0	AZ	1		W		W	51		70999	0
2002	H2AZ01164	STAFFORD, DAVID	O	2	REP	125713	0	125712	0	0	0	0	106089	0	0	0	106089	4	1190	1	500	15	15000	17124	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	AZ	1					0		0	0
2002	H2AZ01214	TENNEY, LEWIS NOBLE	O	2	REP	314198	0	314199	0	0	0	0	136721	0	0	0	0	142	37105	66	33910	84	83120	171239	0	0	500	0	0	6000	0	0	0	0	0	0	0	0	AZ	1					0		0	0
2002	H2AZ01180	WHITING, RICHARD BRUCE	O	2	REP	467411	0	464810	0	0	2602	0	245534	0	1400	0	274156	114	27439	77	38728	91	93350	218089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	1					0		0	0
2002	H0AZ03263	CALVERT, LINDA JOYCE	O	1	DEM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	2500	0	0	0	0	0	0	0	0	AZ	2					0		0	0
2002	H2AZ02220	CAMACHO, RANDY ROBERT	O	1	DEM	46296	0	40206	0	0	4127	6275	0	0	0	0	0	0	0	3	1700	1	1000	29521	0	0	500	12500	4000	0	0	0	0	0	0	0	0	0	AZ	2		W		L	36		0	0
2002	H2AZ03053	FARLEY, ELIZABETH M	O	1	DEM	93272	0	63930	0	0	29340	1650	68428	0	7128	0	61300	13	3225	5	2500	0	0	16971	250	0	0	5000	100	500	0	0	0	0	0	0	0	0	AZ	2					0		0	0
2002	H2AZ02204	REAGAN, SANDRA JEAN	O	1	DEM	14432	0	15212	0	0	0	0	13132	0	2080	0	2166	4	900	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	2					0		0	0
2002	H2AZ02188	ATKINS, LISA ANN	O	2	REP	286564	0	287495	0	0	-1201	0	0	0	0	0	12913	151	39626	91	45500	96	95694	235559	0	0	20333	3000	3000	20999	0	500	0	0	0	0	34553	0	AZ	2					0		0	0
2002	H2AZ02196	BUNDGAARD, SCOTT	O	2	REP	123203	0	113940	0	0	-19621	0	11350	0	0	0	16433	41	10789	37	18500	57	56439	96353	0	0	10500	0	0	6000	0	0	0	0	0	0	473	0	AZ	2					0		0	0
2002	H4AZ04024	FRANKS, TRENT	O	2	REP	562183	0	555648	0	0	6530	8379	375100	0	95000	0	280100	87	21525	55	27700	67	66900	145555	4500	0	3500	0	39762	2500	0	300	0	0	0	2	98	0	AZ	2		W		W	59		0	0
2002	H8AZ03076	HENSLEY, RICHARD FRANKLIN	O	2	REP	0	0	326	0	466	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	2					0		0	0
2002	H2AZ02212	KEEGAN, JOHN CHARLES	O	2	REP	321535	0	321533	0	0	0	10000	79800	0	0	0	79800	48	13029	41	20680	124	123350	209235	0	0	3500	36000	3200	16500	0	0	0	0	0	0	5494	0	AZ	2					0		0	0
2002	H2AZ02170	SCARMARDO, SALVATORE LUKE (SAM)	O	2	REP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	2					0		0	0
2002	H2AZ02238	SCHAEFER, MIKE	C	2	REP	6224	0	6224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	2					0		0	0
2002	H2AZ02246	CRUM, WILLIAM	C	3	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	2				L	0		0	0
2002	H2AZ03061	HILL, CHARLES EDWARD	C	1	DEM	11696	0	11694	0	0	0	1000	1000	0	1000	0	0	3	900	1	500	3	3000	8696	0	0	0	1000	0	0	0	0	0	0	2	0	0	0	AZ	3		W		L	30		0	0
2002	H4AZ04016	SHADEGG, JOHN BARDEN	I	2	REP	629672	0	814518	0	202893	143242	0	0	0	0	0	0	100	24906	78	39430	90	89350	252575	0	0	181522	0	51150	152707	0	13999	0	0	0	2	244	0	AZ	3		W		W	67		0	0
2002	H0AZ04477	GAUDREAU, EDWARD	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	3		L			0		0	0
2002	H4AZ04073	YANNONE, MARK J.	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	3		W		L	2		0	0
2002	H2AZ02055	PASTOR, EDWARD L	I	1	DEM	838578	0	673771	0	403227	568032	0	0	0	0	0	0	148	39636	128	64670	163	162250	341915	1630	0	163700	196999	21091	73975	6000	11350	0	257	22	0	15168	0	AZ	4		W		W	67		376	0
2002	H2AZ04093	BARNERT, JONATHAN	C	2	REP	5720	0	3112	0	0	2607	0	0	0	0	0	0	2	500	1	500	3	3000	4720	0	0	0	0	500	0	0	0	0	0	0	0	0	0	AZ	4		W		L	27		0	0
2002	H2AZ04085	HURLEY, PATRICK JAY	C	2	REP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	4					0		0	0
2002	H2AZ04119	GIBBONS, AMY	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	4				L	4		0	0
2002	H2AZ05108	COLUMBUS, CRAIG	C	1	DEM	356843	0	351955	0	0	4757	0	235000	0	150000	0	85000	50	11932	27	13800	49	49581	96059	250	0	0	21000	3500	0	0	0	0	0	2	0	0	0	AZ	5		W		L	36		0	0
2002	H2AZ05090	KING, LAWRENCE C	C	1	DEM	70528	0	80932	0	0	0	1000	32873	0	0	0	34168	31	7860	11	5600	14	14000	36655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	5					0		0	0
2002	H4AZ06052	HAYWORTH, J D	I	2	REP	1439357	0	1482389	0	281253	238220	0	0	0	0	0	0	441	36203	265	133429	423	430675	843679	929	0	253993	7500	43612	221169	0	21250	0	0	0	2	4004	0	AZ	5		W		W	61		0	0
2002	H2AZ05124	SEVERIN, WARREN	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	5				L	2		0	0
2002	H2AZ06106	THOMAS, DEBORAH	C	1	DEM	22309	0	22076	0	0	233	88	3000	0	75	0	3087	2	475	0	0	1	1000	7504	250	0	0	10300	1000	0	0	0	0	0	2	0	0	0	AZ	6		W		L	31		0	0
2002	H0AZ01184	FLAKE, JEFF L	I	2	REP	373429	0	265350	0	61512	169588	0	0	0	0	0	0	77	19050	80	40000	156	156500	227947	19	0	89900	0	11950	45421	0	2750	0	0	0	2	364	0	AZ	6		W		W	65		0	0
2002	H2AZ06114	WAGNER, ANDY	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	6		W		L	2		0	0
2002	H2AZ07054	FLEISHER, MARK	O	1	DEM	104708	0	104441	0	0	264	0	7500	0	1500	0	27550	52	13313	39	19500	45	44800	95618	250	0	0	0	0	0	0	0	0	0	0	0	0	0	AZ	7					0		0	0
