zip	lat	lon	code	city	state	county
00694	+18.443109	-066.398302	P	VEGA BAJA	72	145
00698	+18.061040	-066.861164		YAUCO	72	153
00703	+18.250398	-066.128450		AGUAS BUENAS	72	007
00704	+17.992290	-066.139253		AGUIRRE	72	057
00705	+18.128092	-066.268717		AIBONITO	72	009
00707	+18.007014	-065.898719		MAUNABO	72	095
00714	+17.967510	-066.041380		ARROYO	72	015
00715	+18.011854	-066.563721		MERCEDITA	72	113
00716	+18.001995	-066.607429		PONCE	72	113
00717	+18.001995	-066.607429		PONCE	72	113
00718	+18.221390	-065.778310		NAGUABO	72	103
00719	+18.298017	-066.229751		NARANJITO	72	105
00720	+18.226862	-066.394020		OROCOVIS	72	107
00721	+18.364161	-065.778288	P	PALMER	72	119
00723	+18.009994	-066.010572		PATILLAS	72	109
00725	+18.212965	-066.058033		CAGUAS	72	025
00726	+18.212965	-066.058033	P	CAGUAS	72	025
00728	+18.001995	-066.607429		PONCE	72	113
00729	+18.333093	-065.883864		CANOVANAS	72	029
00730	+18.001995	-066.607429		PONCE	72	113
00731	+18.038310	-066.626344		PONCE	72	113
00732	+18.021781	-066.613742	P	PONCE	72	113
00733	+18.019331	-066.619165	P	PONCE	72	113
00734	+17.999499	-066.643934	P	PONCE	72	113
00735	+18.264872	-065.594769		CEIBA	72	037
00736	+18.102967	-066.139274		CAYEY	72	035
00737	+18.102967	-066.139274	P	CAYEY	72	035
00738	+18.359381	-065.611361		FAJARDO	72	053
00739	+18.181469	-066.169519		CIDRA	72	041
00740	+18.331958	-065.638780		PUERTO REAL	72	053
00741	+18.162156	-065.753485		PUNTA SANTIAGO	72	069
00742	+18.264872	-065.594769		ROOSEVELT ROADS	72	037
00744	+18.206329	-065.743058	P	RIO BLANCO	72	103
00745	+18.367347	-065.816583		RIO GRANDE	72	119
00751	+17.998520	-066.264825		SALINAS	72	123
00754	+18.187584	-065.962389		SAN LORENZO	72	129
00757	+17.991233	-066.395543		SANTA ISABEL	72	133
00765	+18.123347	-065.460356		VIEQUES	72	147
00766	+18.120519	-066.496607		VILLALBA	72	149
00767	+18.045522	-065.886988		YABUCOA	72	151
00769	+18.095992	-066.350810		COAMO	72	043
00771	+18.196576	-065.871970		LAS PIEDRAS	72	085
00772	+18.447406	-065.899357		LOIZA	72	087
00773	+18.366027	-065.708138		LUQUILLO	72	089
00775	+18.323736	-065.296467	P	CULEBRA	72	049
00777	+18.206489	-065.901774		JUNCOS	72	077
00778	+18.259092	-065.974641		GURABO	72	063
00780	+18.001995	-066.607429		COTO LAUREL	72	113
00782	+18.224958	-066.219885		COMERIO	72	045
00783	+18.304369	-066.330525		COROZAL	72	047
00784	+17.992290	-066.139253		GUAYAMA	72	057
00785	+18.018822	-066.795603	P	GUAYAMA	72	059
00786	+18.128092	-066.268717	P	LA PLATA	72	009
00791	+18.138029	-065.788499		HUMACAO	72	069
00792	+18.138029	-065.788499	P	HUMACAO	72	069
00794	+18.200898	-066.307236		BARRANQUITAS	72	019
00795	+17.997367	-066.493218		JUANA DIAZ	72	075
00801	+18.322285	-064.963715	P	ST THOMAS	78	030
00802	+18.322285	-064.963715		ST THOMAS	78	030
00803	+18.322285	-064.963715	P	ST THOMAS	78	030
00804	+18.322285	-064.963715	P	ST THOMAS	78	030
00805	+18.322285	-064.963715	P	ST THOMAS	78	030
00820	+17.734211	-064.734694		CHRISTIANSTED	78	010
00821	+17.734211	-064.734694	P	CHRISTIANSTED	78	010
00822	+17.734211	-064.734694	P	CHRISTIANSTED	78	010
00823	+17.734211	-064.734694	P	CHRISTIANSTED	78	010
00824	+17.734211	-064.734694	P	CHRISTIANSTED	78	010
00830	+18.328160	-064.740737		ST JOHN	78	020
00831	+18.328160	-064.740737	P	ST JOHN	78	020
00840	+17.734211	-064.734694		FREDERIKSTED	78	010
00841	+17.734211	-064.734694	P	FREDERIKSTED	78	010
00850	+17.734211	-064.734694		KINGSHILL	78	010
00851	+17.734211	-064.734694	P	KINGSHILL	78	010
00901	+18.465901	-066.103568		SAN JUAN	72	127
00902	+18.410462	-066.060533	P	SAN JUAN	72	127
00906	+18.410462	-066.060533	P	SAN JUAN	72	127
00907	+18.451647	-066.077003		SAN JUAN	72	127
00908	+18.410462	-066.060533	P	SAN JUAN	72	127
00909	+18.443384	-066.068133		SAN JUAN	72	127
00910	+18.410462	-066.060533	P	SAN JUAN	72	127
00911	+18.450828	-066.057859		SAN JUAN	72	127
00912	+18.444187	-066.059859		SAN JUAN	72	127
00913	+18.450735	-066.043352		SAN JUAN	72	127
00914	+18.410462	-066.060533	P	SAN JUAN	72	127
00915	+18.437896	-066.048087		SAN JUAN	72	127
00916	+18.410462	-066.060533	P	SAN JUAN	72	127
00917	+18.422018	-066.050602		SAN JUAN	72	127
00918	+18.419069	-066.062319		SAN JUAN	72	127
00919	+18.410462	-066.060533	P	SAN JUAN	72	127
00920	+18.406808	-066.091885		SAN JUAN	72	127
00921	+18.390429	-066.066124		SAN JUAN	72	127
00922	+18.410462	-066.060533	P	SAN JUAN	72	127
00923	+18.410775	-066.036708		SAN JUAN	72	127
00924	+18.396392	-066.011460		SAN JUAN	72	127
00925	+18.401055	-066.049773		SAN JUAN	72	127
00926	+18.369376	-066.062804		SAN JUAN	72	127
00927	+18.385174	-066.071959		SAN JUAN	72	127
00928	+18.410462	-066.060533	P	SAN JUAN	72	127
00929	+18.410462	-066.060533	P	SAN JUAN	72	127
00930	+18.410462	-066.060533	P	SAN JUAN	72	127
00931	+18.410462	-066.060533	P	SAN JUAN	72	127
00933	+18.410462	-066.060533	P	SAN JUAN	72	127
00934	+18.344870	-066.166014	P	FORT BUCHANAN	72	021
00935	+18.410462	-066.060533	U	SAN JUAN	72	127
00936	+18.410462	-066.060533	P	SAN JUAN	72	127
00937	+18.410462	-066.060533	P	SAN JUAN	72	127
00938	+18.410462	-066.060533		SAN JUAN	72	127
00939	+18.410462	-066.060533	P	SAN JUAN	72	127
00940	+18.410462	-066.060533	P	SAN JUAN	72	127
00949	+18.431911	-066.199692		TOA BAJA	72	137
00950	+18.457761	-066.196503	P	TOA BAJA	72	137
00951	+18.457761	-066.196503	P	TOA BAJA	72	137
00952	+18.457761	-066.196503		SABANA SECA	72	137
00953	+18.356795	-066.257010		TOA ALTA	72	135
00954	+18.358939	-066.258108	P	TOA ALTA	72	135
00955	+18.410462	-066.060533	P	SAN JUAN	72	127
00956	+18.326702	-066.174176		BAYAMON	72	021
00957	+18.366645	-066.183907		BAYAMON	72	021
00958	+18.344870	-066.166014	P	BAYAMON	72	021
00959	+18.387058	-066.159044		BAYAMON	72	021
00960	+18.344870	-066.166014	P	BAYAMON	72	021
00961	+18.413195	-066.168651		BAYAMON	72	021
00962	+18.437644	-066.140407		CATANO	72	033
00963	+18.443217	-066.139293	P	CATANO	72	033
00965	+18.428784	-066.115390		GUAYNABO	72	061
00966	+18.396815	-066.114889		GUAYNABO	72	061
00968	+18.410462	-066.060533		GUAYNABO	72	127
00969	+18.362322	-066.113729		GUAYNABO	72	061
00970	+18.359143	-066.112295	P	GUAYNABO	72	061
00971	+18.309420	-066.113606		GUAYNABO	72	061
00975	+18.410462	-066.060533	U	SAN JUAN	72	127
00976	+18.338133	-065.989229		TRUJILLO ALTO	72	139
00977	+18.337004	-065.990099	P	TRUJILLO ALTO	72	139
00978	+18.337004	-065.990099	P	ST JUST	72	139
00979	+18.410462	-066.060533		CAROLINA	72	127
00981	+18.410462	-066.060533		CAROLINA	72	127
00982	+18.410462	-066.060533		CAROLINA	72	127
00983	+18.413452	-065.977659		CAROLINA	72	031
00984	+18.393355	-065.972495	P	CAROLINA	72	031
00985	+18.345741	-065.938880		CAROLINA	72	031
00986	+18.393355	-065.972495	P	CAROLINA	72	031
00987	+18.373466	-065.959932		CAROLINA	72	031
00988	+18.393355	-065.972495	P	CAROLINA	72	031
01001	+42.140549	-072.788661		AGAWAM	25	013
01002	+42.367092	-072.464571		AMHERST	25	015
01003	+42.369562	-072.635990	P	AMHERST	25	015
01004	+42.384494	-072.513183	P	AMHERST	25	015
01005	+42.329160	-072.139465		BARRE	25	027
01007	+42.280267	-072.402056		BELCHERTOWN	25	015
01008	+42.177833	-072.958359		BLANDFORD	25	013
01009	+42.206092	-072.340486	P	BONDSVILLE	25	013
01010	+42.108585	-072.204480		BRIMFIELD	25	013
01011	+42.294259	-072.952776		CHESTER	25	013
01012	+42.392274	-072.825607		CHESTERFIELD	25	015
01013	+42.161492	-072.667341		CHICOPEE	25	013
01014	+42.170731	-072.604842	P	CHICOPEE	25	013
01020	+42.177492	-072.562563		CHICOPEE	25	013
01021	+42.170731	-072.604842	P	CHICOPEE	25	013
01022	+42.193392	-072.554360		CHICOPEE	25	013
01026	+42.428617	-072.909841		CUMMINGTON	25	015
01027	+42.368303	-072.768839		EASTHAMPTON	25	015
01028	+42.062009	-072.498740		EAST LONGMEADOW	25	013
01029	+42.190904	-073.051661	P	EAST OTIS	25	003
01030	+42.189335	-072.797740		FEEDING HILLS	25	013
01031	+42.352554	-072.205724		GILBERTVILLE	25	027
01032	+42.443837	-072.819446		GOSHEN	25	015
01033	+42.262285	-072.504086		GRANBY	25	015
01034	+42.112748	-072.952003		GRANVILLE	25	013
01035	+42.356804	-072.576613		HADLEY	25	015
01036	+42.067614	-072.417507		HAMPDEN	25	013
01037	+42.347856	-072.225251	P	HARDWICK	25	027
01038	+42.387269	-072.643081		HATFIELD	25	015
01039	+42.356410	-072.682127		HAYDENVILLE	25	015
01040	+42.198291	-072.642070		HOLYOKE	25	013
01041	+42.170731	-072.604842	P	HOLYOKE	25	013
01050	+42.313427	-072.903677		HUNTINGTON	25	015
01053	+42.353838	-072.704385		LEEDS	25	015
01054	+42.474681	-072.467543		LEVERETT	25	011
01056	+42.173276	-072.627038		LUDLOW	25	013
01057	+42.095323	-072.282063		MONSON	25	013
01059	+42.369562	-072.635990	P	NORTH AMHERST	25	015
01060	+42.415154	-072.769270		NORTHAMPTON	25	015
01061	+42.369562	-072.635990	P	NORTHAMPTON	25	015
01062	+42.328838	-072.845227		FLORENCE	25	015
01063	+42.317939	-072.640234	U	NORTHAMPTON	25	015
01066	+42.406697	-072.633901	P	NORTH HATFIELD	25	015
01068	+42.346144	-072.058847		OAKHAM	25	027
01069	+42.176131	-072.314570		PALMER	25	013
01070	+42.448984	-072.958397		PLAINFIELD	25	015
01071	+42.177432	-072.864558		RUSSELL	25	013
01072	+42.471562	-072.440170		SHUTESBURY	25	011
01073	+42.230008	-072.728463		SOUTHAMPTON	25	015
01074	+42.375998	-072.149388	P	SOUTH BARRE	25	027
01075	+42.249840	-072.581520		SOUTH HADLEY	25	015
01077	+42.066644	-072.541205		SOUTHWICK	25	013
01079	+42.192892	-072.329574	P	THORNDIKE	25	013
01080	+42.179805	-072.517813		THREE RIVERS	25	013
01081	+42.061948	-072.213598		WALES	25	013
01082	+42.377471	-072.548549		WARE	25	015
01083	+42.204027	-072.199439	P	WARREN	25	027
01084	+42.390303	-072.870857	P	WEST CHESTERFIELD	25	015
01085	+42.148690	-072.501887		WESTFIELD	25	013
01086	+42.173428	-072.847964	P	WESTFIELD	25	013
01088	+42.390583	-072.646894		WEST HATFIELD	25	015
01089	+42.125793	-072.645334		WEST SPRINGFIELD	25	013
01090	+42.170731	-072.604842	P	WEST SPRINGFIELD	25	013
01092	+42.202887	-072.229025	P	WEST WARREN	25	027
01093	+42.442673	-072.652511	P	WHATELY	25	011
01094	+42.358201	-072.140846	P	WHEELWRIGHT	25	027
01095	+42.125974	-072.489988		WILBRAHAM	25	013
01096	+42.413069	-072.821653		WILLIAMSBURG	25	015
01097	+42.161743	-072.845912	P	WORONOCO	25	013
01098	+42.404940	-072.896133		WORTHINGTON	25	015
01101	+42.170731	-072.604842	P	SPRINGFIELD	25	013
01102	+42.170731	-072.604842	P	SPRINGFIELD	25	013
01103	+42.103044	-072.590783		SPRINGFIELD	25	013
01104	+42.128605	-072.567966		SPRINGFIELD	25	013
01105	+42.099793	-072.577732		SPRINGFIELD	25	013
01106	+42.049194	-072.567882		LONGMEADOW	25	013
01107	+42.126237	-072.586733		SPRINGFIELD	25	013
01108	+42.080594	-072.558081		SPRINGFIELD	25	013
01109	+42.119293	-072.548981		SPRINGFIELD	25	013
01111	+42.170731	-072.604842	U	SPRINGFIELD	25	013
01114	+42.170731	-072.604842	U	SPRINGFIELD	25	013
01115	+42.102894	-072.591633	U	SPRINGFIELD	25	013
01116	+42.170731	-072.604842	P	LONGMEADOW	25	013
01118	+42.093894	-072.523227		SPRINGFIELD	25	013
01119	+42.124943	-072.526705		SPRINGFIELD	25	013
01128	+42.094616	-072.487229		SPRINGFIELD	25	013
01129	+42.124485	-072.489479		SPRINGFIELD	25	013
01133	+42.170731	-072.604842	U	SPRINGFIELD	25	013
01138	+42.170731	-072.604842	P	SPRINGFIELD	25	013
01139	+42.170731	-072.604842	P	SPRINGFIELD	25	013
01144	+42.101796	-072.591510		SPRINGFIELD	25	013
01151	+42.150593	-072.512780		INDIAN ORCHARD	25	013
01152	+42.170731	-072.604842		SPRINGFIELD	25	013
01199	+42.119943	-072.604983	U	SPRINGFIELD	25	013
01201	+42.479475	-073.248070		PITTSFIELD	25	003
01202	+42.392900	-073.228483	P	PITTSFIELD	25	003
01203	+42.392900	-073.228483	P	PITTSFIELD	25	003
01220	+42.385595	-073.172166		ADAMS	25	003
01222	+42.185969	-073.318695		ASHLEY FALLS	25	003
01223	+42.341800	-073.103468		BECKET	25	003
01224	+42.392900	-073.228483	P	BERKSHIRE	25	003
01225	+42.482125	-073.127483		CHESHIRE	25	003
01226	+42.470296	-073.088950		DALTON	25	003
01227	+42.516145	-073.092852	P	DALTON	25	003
01229	+42.279292	-073.343545	P	GLENDALE	25	003
01230	+42.299392	-073.266650		GREAT BARRINGTON	25	003
01235	+42.292370	-073.221640		HINSDALE	25	003
01236	+42.291299	-073.358798		HOUSATONIC	25	003
01237	+42.487569	-073.235048		LANESBORO	25	003
01238	+42.369856	-073.267465		LEE	25	003
01240	+42.459202	-073.219858		LENOX	25	003
01242	+42.338594	-073.250891	P	LENOX DALE	25	003
01243	+42.356088	-073.010448	P	MIDDLEFIELD	25	015
01244	+42.122827	-073.253983	P	MILL RIVER	25	003
01245	+42.186690	-073.206498		MONTEREY	25	003
01247	+42.426974	-073.186320		NORTH ADAMS	25	003
01252	+42.198648	-073.446234	P	NORTH EGREMONT	25	003
01253	+42.213156	-073.090434		OTIS	25	003
01254	+42.233105	-073.238358		RICHMOND	25	003
01255	+42.148975	-073.148610		SANDISFIELD	25	003
01256	+42.367341	-073.128528		SAVOY	25	003
01257	+42.314564	-073.267694		SHEFFIELD	25	003
01258	+42.128075	-073.360890		SOUTH EGREMONT	25	003
01259	+42.198712	-073.278543		SOUTHFIELD	25	003
01260	+42.286586	-073.313274	P	SOUTH LEE	25	003
01262	+42.304604	-073.330001	P	STOCKBRIDGE	25	003
01263	+42.392900	-073.228483	U	STOCKBRIDGE	25	003
01264	+42.220001	-073.197865	P	TYRINGHAM	25	003
01266	+42.360482	-073.265354		WEST STOCKBRIDGE	25	003
01267	+42.642075	-073.257699		WILLIAMSTOWN	25	003
01270	+42.443726	-073.116127		WINDSOR	25	003
01301	+42.601335	-072.623619		GREENFIELD	25	011
01302	+42.522178	-072.624164	P	GREENFIELD	25	011
01330	+42.562391	-072.738152		ASHFIELD	25	011
01331	+42.547302	-072.183903		ATHOL	25	027
01337	+42.627060	-072.642888		BERNARDSTON	25	011
01338	+42.573832	-072.769487		BUCKLAND	25	011
01339	+42.594252	-072.665507		CHARLEMONT	25	011
01340	+42.681539	-072.822986		COLRAIN	25	011
01341	+42.590824	-072.709760		CONWAY	25	011
01342	+42.547230	-072.607679		DEERFIELD	25	011
01343	+42.642666	-072.986231		DRURY	25	003
01344	+42.627072	-072.553654		ERVING	25	011
01346	+42.618011	-072.788896		HEATH	25	011
01347	+42.556558	-072.518104	P	LAKE PLEASANT	25	011
01349	+42.621412	-072.705633		TURNERS FALLS	25	011
01350	+42.721456	-072.976204	P	MONROE BRIDGE	25	011
01351	+42.548107	-072.486930		MONTAGUE	25	011
01354	+42.522178	-072.624164		NORTHFIELD	25	011
01355	+42.518718	-072.534371		NEW SALEM	25	011
01360	+42.614152	-072.528209		NORTHFIELD	25	011
01364	+42.578325	-072.556589		ORANGE	25	011
01366	+42.459632	-072.182962		PETERSHAM	25	027
01367	+42.683065	-072.715667		ROWE	25	011
01368	+42.672182	-072.196376		ROYALSTON	25	027
01369	+42.522178	-072.624164		SHATTUCKVILLE	25	011
01370	+42.588812	-072.758781		SHELBURNE FALLS	25	011
01373	+42.464522	-072.682346		SOUTH DEERFIELD	25	011
01375	+42.565346	-072.700940		SUNDERLAND	25	011
01376	+42.654878	-072.718123		TURNERS FALLS	25	011
01378	+42.667059	-072.339655		WARWICK	25	011
01379	+42.581007	-072.437179		WENDELL	25	011
01380	+42.553431	-072.392694		WENDELL DEPOT	25	011
01420	+42.583689	-071.816767		FITCHBURG	25	027
01430	+42.654906	-071.920942		ASHBURNHAM	25	027
01431	+42.446396	-071.459405		ASHBY	25	017
01432	+42.446396	-071.459405		AYER	25	017
01436	+42.601427	-072.083838		BALDWINVILLE	25	027
01438	+42.551681	-072.029434	P	EAST TEMPLETON	25	027
01440	+42.582529	-072.025884		GARDNER	25	027
01441	+42.364807	-071.896868	U	GARDNER	25	027
01450	+42.446396	-071.459405		GROTON	25	017
01451	+42.500187	-071.575864		HARVARD	25	027
01452	+42.483895	-072.011516		HUBBARDSTON	25	027
01453	+42.471316	-071.837509		LEOMINSTER	25	027
01460	+42.446396	-071.459405		LITTLETON	25	017
01462	+42.583322	-071.752266		LUNENBURG	25	027
01463	+42.446396	-071.459405		PEPPERELL	25	017
01464	+42.446396	-071.459405		SHIRLEY	25	017
01467	+42.487056	-071.613078	P	STILL RIVER	25	027
01468	+42.555059	-072.072285		TEMPLETON	25	027
01469	+42.446396	-071.459405		TOWNSEND	25	017
01470	+42.446396	-071.459405	U	GROTON	25	017
01471	+42.446396	-071.459405	U	GROTON	25	017
01472	+42.446396	-071.459405	P	WEST GROTON	25	017
01473	+42.549489	-071.913219		WESTMINSTER	25	027
01474	+42.446396	-071.459405		WEST TOWNSEND	25	017
01475	+42.661612	-072.047876		WINCHENDON	25	027
01477	+42.364807	-071.896868	P	WINCHENDON SPRINGS	25	027
01501	+42.184835	-071.947184		AUBURN	25	027
01503	+42.312900	-071.841656		BERLIN	25	027
01504	+42.114078	-071.799785		BLACKSTONE	25	027
01505	+42.300037	-071.943458		BOYLSTON	25	027
01506	+42.191690	-072.105011		BROOKFIELD	25	027
01507	+42.132770	-071.972627		CHARLTON	25	027
01508	+42.109748	-072.079455	P	CHARLTON CITY	25	027
01509	+42.364807	-071.896868	P	CHARLTON DEPOT	25	027
01510	+42.413972	-071.687523		CLINTON	25	027
01515	+42.205311	-072.049907		EAST BROOKFIELD	25	027
01516	+42.113076	-071.891139		DOUGLAS	25	027
01517	+42.364807	-071.896868	P	EAST PRINCETON	25	027
01518	+42.106405	-072.114045		FISKDALE	25	027
01519	+42.203944	-071.682862		GRAFTON	25	027
01520	+42.336791	-071.845316		HOLDEN	25	027
01521	+42.061063	-072.163991		HOLLAND	25	013
01522	+42.264629	-071.795442		JEFFERSON	25	027
01523	+42.427188	-071.911770		LANCASTER	25	027
01524	+42.238192	-072.012379		LEICESTER	25	027
01525	+42.364807	-071.896868	P	LINWOOD	25	027
01526	+42.364807	-071.896868	P	MANCHAUG	25	027
01527	+42.255642	-071.819961		MILLBURY	25	027
01529	+42.124662	-071.846943		MILLVILLE	25	027
01531	+42.320938	-072.128644		NEW BRAINTREE	25	027
01532	+42.322118	-071.642820		NORTHBOROUGH	25	027
01534	+42.207191	-071.856807		NORTHBRIDGE	25	027
01535	+42.275382	-072.089338		NORTH BROOKFIELD	25	027
01536	+42.407556	-071.860402		NORTH GRAFTON	25	027
01537	+42.166241	-071.891052		NORTH OXFORD	25	027
01538	+42.364807	-071.896868	P	NORTH UXBRIDGE	25	027
01540	+42.109223	-071.855444		OXFORD	25	027
01541	+42.451926	-071.880057		PRINCETON	25	027
01542	+42.220085	-071.914361		ROCHDALE	25	027
01543	+42.383516	-071.954630		RUTLAND	25	027
01545	+42.286992	-071.715313		SHREWSBURY	25	027
01546	+42.364807	-071.896868	U	SHREWSBURY	25	027
01550	+42.129251	-072.031155		SOUTHBRIDGE	25	027
01560	+42.176544	-071.681912		SOUTH GRAFTON	25	027
01561	+42.443539	-071.686137	P	SOUTH LANCASTER	25	027
01562	+42.254837	-072.065612		SPENCER	25	027
01564	+42.366765	-071.939375		STERLING	25	027
01566	+42.102730	-072.080996		STURBRIDGE	25	027
01568	+42.175591	-071.603197		UPTON	25	027
01569	+42.059736	-071.638438		UXBRIDGE	25	027
01570	+42.135100	-071.994169		WEBSTER	25	027
01571	+42.059189	-071.937037		DUDLEY	25	027
01580	+42.364807	-071.896868	U	WESTBOROUGH	25	027
01581	+42.255222	-071.845865		WESTBOROUGH	25	027
01582	+42.364807	-071.896868	U	WESTBOROUGH	25	027
01583	+42.362783	-071.781215		WEST BOYLSTON	25	027
01585	+42.235638	-072.172523		WEST BROOKFIELD	25	027
01586	+42.364807	-071.896868	P	WEST MILLBURY	25	027
01588	+42.166554	-071.899484		WHITINSVILLE	25	027
01590	+42.126575	-071.755193		SUTTON	25	027
01601	+42.265275	-071.879415	P	WORCESTER	25	027
01602	+42.274595	-071.846966		WORCESTER	25	027
01603	+42.245442	-071.839257		WORCESTER	25	027
01604	+42.247955	-071.766780		WORCESTER	25	027
01605	+42.288792	-071.796128		WORCESTER	25	027
01606	+42.311834	-071.794465		WORCESTER	25	027
01607	+42.226452	-071.792506		WORCESTER	25	027
01608	+42.293501	-071.925696		WORCESTER	25	027
01609	+42.282565	-071.827685		WORCESTER	25	027
01610	+42.246483	-071.808915		WORCESTER	25	027
01611	+42.239392	-071.878716		CHERRY VALLEY	25	027
01612	+42.304675	-071.892875		PAXTON	25	027
01613	+42.293316	-071.801971	P	WORCESTER	25	027
01614	+42.364807	-071.896868	P	WORCESTER	25	027
01615	+42.364807	-071.896868	P	WORCESTER	25	027
01653	+42.364807	-071.896868	U	WORCESTER	25	027
01654	+42.364807	-071.896868	U	WORCESTER	25	027
01655	+42.364807	-071.896868		WORCESTER	25	027
01701	+42.446396	-071.459405		FRAMINGHAM	25	017
01702	+42.446396	-071.459405		FRAMINGHAM	25	017
01703	+42.446396	-071.459405	P	FRAMINGHAM	25	017
01704	+42.446396	-071.459405	P	FRAMINGHAM	25	017
01705	+42.446396	-071.459405	P	FRAMINGHAM	25	017
01718	+42.446396	-071.459405		VILLAGE OF NAGOG WOODS	25	017
01719	+42.446396	-071.459405		BOXBOROUGH	25	017
01720	+42.446396	-071.459405		ACTON	25	017
01721	+42.446396	-071.459405		ASHLAND	25	017
01730	+42.446396	-071.459405		BEDFORD	25	017
01731	+42.446396	-071.459405		HANSCOM AFB	25	017
01740	+42.436043	-071.605916		BOLTON	25	027
01741	+42.446396	-071.459405		CARLISLE	25	017
01742	+42.446396	-071.459405		CONCORD	25	017
01745	+42.293442	-071.502762		FAYVILLE	25	027
01746	+42.446396	-071.459405		HOLLISTON	25	017
01747	+42.127515	-071.533138		HOPEDALE	25	027
01748	+42.446396	-071.459405		HOPKINTON	25	017
01749	+42.446396	-071.459405		HUDSON	25	017
01752	+42.446396	-071.459405		MARLBOROUGH	25	017
01754	+42.446396	-071.459405		MAYNARD	25	017
01756	+42.100352	-071.546961		MENDON	25	027
01757	+42.147087	-071.528085		MILFORD	25	027
01760	+42.446396	-071.459405		NATICK	25	017
01770	+42.446396	-071.459405		SHERBORN	25	017
01772	+42.296842	-071.533229		SOUTHBOROUGH	25	027
01773	+42.446396	-071.459405		LINCOLN	25	017
01775	+42.446396	-071.459405		STOW	25	017
01776	+42.446396	-071.459405		SUDBURY	25	017
01778	+42.446396	-071.459405		WAYLAND	25	017
01784	+42.446396	-071.459405	P	WOODVILLE	25	017
01801	+42.488595	-071.157271		WOBURN	25	017
01803	+42.504844	-071.201539		BURLINGTON	25	017
01805	+42.446396	-071.459405	U	BURLINGTON	25	017
01806	+42.446396	-071.459405	U	WOBURN	25	017
01807	+42.446396	-071.459405	U	WOBURN	25	017
01808	+42.446396	-071.459405	U	WOBURN	25	017
01810	+42.647991	-071.165685		ANDOVER	25	009
01812	+42.647191	-071.184202	U	ANDOVER	25	009
01813	+42.446396	-071.459405	U	WOBURN	25	017
01815	+42.446396	-071.459405	U	WOBURN	25	017
01821	+42.446396	-071.459405		BILLERICA	25	017
